Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0483584912700585,-0.570328251080176,-0.0266876605513664,0,0,0,3.21829386296279,0.00721990996747051,-1.93643410745552E-06,-3.86677335720234E-07,0.00580151653868739,6.76040378112396E-07,0.0125117312153311,0,0,0,0,0,0,package://model24/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://model24/meshes/base_link.STL,,1. E-baseline-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_front_wheel_suspension,-0.00786753377996494,-0.0155948984609842,0.0232556468762561,0,0,0,0.0651133753252895,1.48802654908116E-05,1.64845451975805E-08,-1.56420031463121E-07,1.75245555055195E-05,-2.96403540336102E-09,8.01010024686586E-06,0,0,0,0,0,0,package://model24/meshes/left_front_wheel_suspension.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://model24/meshes/left_front_wheel_suspension.STL,,3.Suspension_L-1,Origin_left_front_wheel_suspension_joint2,Axis_left_front_wheel_suspension_joint2,left_front_wheel_suspension_joint,prismatic,-0.126408549299102,-0.497497400808498,-0.100377754287938,1.5707963267949,0,0,base_link,0,1,0,0,0,0,0,,,,,,,,
left_front_wheel,0.0158399891826273,-4.59981459866032E-09,7.99690621500204E-08,0,0,0,0.22822169800504,0.000789211576324214,-1.09995507949868E-10,1.91230261060072E-09,0.000410429434291453,-5.55679024387239E-16,0.000410429434301075,0,0,0,0,0,0,package://model24/meshes/left_front_wheel.STL,1,1,1,1,0,0,0,0,0,0,package://model24/meshes/left_front_wheel.STL,,Wheel_3dprintABS-1,Origin_left_front_wheel_joint2,Axis_left_front_wheel_joint2,left_front_wheel_joint,continuous,-0.0197601403859578,-0.0217865728752538,0.00999990007507129,3.08413603591628,0,3.14159265358979,left_front_wheel_suspension,0.999999999987214,0,0,3.1,7,,,,,,,,,,
right_front_wheel_suspension,-0.00415434378457435,-0.0156302499401892,0.023255686661272,0,0,0,0.0651133753251555,1.48802639086072E-05,1.648453020563E-08,1.56454773175217E-07,1.75245555054544E-05,2.96411876510204E-09,8.01010182899685E-06,0,0,0,0,0,0,package://model24/meshes/right_front_wheel_suspension.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://model24/meshes/right_front_wheel_suspension.STL,,2.Suspension_R-1,Origin_right_front_wheel_suspension_joint2,Axis_right_front_wheel_suspension_joint2,right_front_wheel_suspension_joint,prismatic,0.0435913849612735,-0.497497370411912,-0.100377754287938,1.5707963267949,0,0,base_link,0,1,0,0,0,0,0,,,,,,,,
right_front_wheel,0.015839199018542,1.11022302462516E-16,0,0,0,0,0.22822169800504,0.000789211576333899,-3.35875425871413E-20,5.10286006149185E-21,0.000410429434291421,-3.18484388167617E-19,0.00041042943429142,0,0,0,0,0,0,package://model24/meshes/right_front_wheel.STL,1,1,1,1,0,0,0,0,0,0,package://model24/meshes/right_front_wheel.STL,,Wheel_3dprintABS-3,Origin_right_front_wheel_joint2,Axis_right_front_wheel_joint2,right_front_wheel_joint,continuous,0.00773912001850283,-0.0217849999999998,0.0100000000000001,0.162600051915931,0,0,right_front_wheel_suspension,1,0,0,3.1,7,,,,,,,,,,
left_rear_wheel_suspension,-0.00786753377996494,-0.0155948984609842,0.023255646876256,0,0,0,0.0651133753252895,1.48802654908115E-05,1.64845451975805E-08,-1.56420031463129E-07,1.75245555055195E-05,-2.96403540336443E-09,8.01010024686586E-06,0,0,0,0,0,0,package://model24/meshes/left_rear_wheel_suspension.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://model24/meshes/left_rear_wheel_suspension.STL,,3.Suspension_L-2,Origin_left_rear_wheel_suspension_joint2,Axis_left_rear_wheel_suspension_joint2,left_rear_wheel_suspension_joint,prismatic,-0.126409864093137,-0.757497400808498,-0.100377754287938,1.5707963267949,0,0,base_link,0,1,0,0,0,0,0,,,,,,,,
left_rear_wheel,0.0158401765053967,7.40328947035351E-08,3.05858046945051E-08,0,0,0,0.22822169800504,0.000789211576324214,1.77032992327332E-09,7.31390626651519E-10,0.000410429434299695,3.41782537601615E-15,0.000410429434292833,0,0,0,0,0,0,package://model24/meshes/left_rear_wheel.STL,1,1,1,1,0,0,0,0,0,0,package://model24/meshes/left_rear_wheel.STL,,Wheel_3dprintABS-2,Origin_left_rear_wheel_joint2,Axis_left_rear_wheel_joint2,left_rear_wheel_joint,continuous,-0.0197599530631884,-0.0217865728752538,0.00999990007601836,-1.96257703993044,0,3.14159265358979,left_rear_wheel_suspension,0.999999999987214,0,0,3.1,7,,,,,,,,,,
right_rear_wheel_suspension,-0.00415434378457436,-0.0156302499401892,0.0232556866612721,0,0,0,0.0651133753251554,1.48802639086072E-05,1.64845302056292E-08,1.56454773175207E-07,1.75245555054544E-05,2.9641187651051E-09,8.01010182899684E-06,0,0,0,0,0,0,package://model24/meshes/right_rear_wheel_suspension.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://model24/meshes/right_rear_wheel_suspension.STL,,2.Suspension_R-2,Origin_right_rear_wheel_suspension_joint2,Axis_right_rear_wheel_suspension_joint2,right_rear_wheel_suspension_joint,prismatic,0.0435913849612735,-0.757497370411907,-0.100377754287938,1.5707963267949,0,0,base_link,0,1,0,0,0,0,0,,,,,,,,
right_rear_wheel,0.0158391990185419,1.11022302462516E-16,0,0,0,0,0.22822169800504,0.0007892115763339,4.70450765359E-22,5.665157729366E-21,0.000410429434291421,-3.1354901504282E-19,0.00041042943429142,0,0,0,0,0,0,package://model24/meshes/right_rear_wheel.STL,1,1,1,1,0,0,0,0,0,0,package://model24/meshes/right_rear_wheel.STL,,Wheel_3dprintABS-4,Origin_right_rear_wheel_joint2,Axis_right_rear_wheel_joint2,right_rear_wheel_joint,continuous,0.00773912001850204,-0.021785,0.01,0,0,0,right_rear_wheel_suspension,1,0,0,3.1,7,,,,,,,,,,
camera,-0.0113544749097687,0.00129821973144108,1.10631679103926E-05,0,0,0,0.0436119950287127,2.35707058046401E-05,2.17579681215255E-08,1.01813691699858E-09,2.21058141232449E-05,8.85791114075142E-10,4.29479133591155E-06,0,0,0,0,0,0,package://model24/meshes/camera.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://model24/meshes/camera.STL,,Webcam_C920 - 복사본-2,Origin_camera,Axis_camera,camera,fixed,-0.0474279144716994,-0.455698685205959,0.0206099543969956,1.5707963267949,0,1.57079632679541,base_link,0,0,0,,,,,,,,,,,,
camera2,-0.0113544534309981,0.00129834296576298,1.07114395615296E-05,0,0,0,0.0436115646020756,2.35700541862173E-05,2.17644981327687E-08,9.97288459824692E-10,2.21052311066008E-05,6.84462776105538E-10,4.294719281608E-06,0,0,0,0,0,0,package://model24/meshes/camera2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://model24/meshes/camera2.STL,,Webcam_C920 - 복사본-1,Origin_camera2,Axis_camera2,camera2,fixed,-0.047427914471688,-0.469703936876262,0.0891447927385417,1.5707963267949,-0.261799387799143,1.5707963267949,base_link,0,0,0,,,,,,,,,,,,
lidar,-0.00868778989367758,-0.00242014065569163,-0.0287648859064543,0,0,0,0.0730845706123877,1.95808756096351E-05,-1.03933750344927E-07,4.28391241039135E-07,2.41250086763081E-05,-9.42709906914269E-09,4.1418452244397E-05,0,0,0,0,0,0,package://model24/meshes/lidar.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://model24/meshes/lidar.STL,,RPLidar-1,Origin_lidar_joint,Axis_lidar_joint,lidar_joint,fixed,-0.039622368083775,-0.541757887991876,0.154117879305891,0,0,1.5707963267949,base_link,0,0,0,,,,,,,,,,,,
imu,-1.38777878078145E-17,0.00250000000000002,0,0,0,0,0.000510000000000001,5.31250000000002E-09,5.52943107967612E-26,-7.37257477290141E-26,8.50000000000004E-09,1.59211946163093E-40,5.31250000000002E-09,0,0,0,0,0,0,package://model24/meshes/imu.STL,1,1,1,1,0,0,0,0,0,0,package://model24/meshes/imu.STL,,imu-1,Origin_imu2,Axis_imu,imu,fixed,-0.088670136268106,-0.572498685205947,0.100617879305896,1.5707963267949,0,0,base_link,0,0,0,,,,,,,,,,,,
